排名,学校名称,省市,总分,指标得分
265,安徽理工大学,安徽省,30.3,38.8
265,沈阳大学,辽宁省,30.3,40
269,西华师范大学,四川省,30.2,30.8
269,山东中医药大学,山东省,30.2,38.4
271,广东海洋大学,广东省,30.1,31.7
272,内蒙古工业大学,内蒙古自治区,29.8,41.8
272,洛阳师范学院,河南省,29.8,30.1
274,西华大学,四川省,29.6,38.5
274,五邑大学,广东省,29.6,34.2
274,甘肃农业大学,甘肃省,29.6,39.2
277,江西理工大学,江西省,29.5,34
277,云南农业大学,云南省,29.5,32.7
277,吉林农业大学,吉林省,29.5,37.1
280,淮海工学院,江苏省,29.3,36.2
281,鲁东大学,山东省,29.2,33.4
282,河南科技学院,河南省,29.1,34.5
282,贵州医科大学,贵州省,29.1,38.2
282,齐齐哈尔大学,黑龙江省,29.1,35.8
282,北华大学,吉林省,29.1,40.9
286,淮北师范大学,安徽省,29,25.7
287,成都信息工程大学,四川省,28.9,37.4
288,青岛农业大学,山东省,28.8,29
288,潍坊医学院,山东省,28.8,35.3
290,新疆大学,新疆自治区,28.6,32.3
290,齐鲁工业大学,山东省,28.6,29
292,淮阴工学院,江苏省,28.5,33.6
293,北京联合大学,北京市,28.4,33.3
293,聊城大学,山东省,28.4,26
295,临沂大学,山东省,28.3,26.2
295,蚌埠医学院,安徽省,28.3,35.1
297,黑龙江八一农垦大学,黑龙江省,28,35.7
298,江西农业大学,江西省,27.9,31.2
299,中原工学院,河南省,27.7,32.1
299,北京石油化工学院,北京市,27.7,34.2
301,重庆科技学院,重庆市,27.6,33.7
301,内蒙古科技大学,内蒙古自治区,27.6,36
303,西南林业大学,云南省,27.5,32.8
303,贵州师范大学,贵州省,27.5,34
305,四川理工学院,四川省,27.2,27.6
305,新疆医科大学,新疆自治区,27.2,35.5
307,江西中医药大学,江西省,26.4,31.5
308,景德镇陶瓷学院,江西省,26.1,20.5
309,潍坊学院,山东省,23.6,22.3
310,德州学院,山东省,21.5,15.3
